release_date,followers
2020-06-26,1076084
2019-11-01,697
2021-05-20,66558
2019-04-16,9777
2010-10-19,155525
2009-06-24,132908
1986-01-01,15332
2014-01-13,624487
2022-04-08,229919
2021-12-24,2368
2014-05-16,9777
2008-05-15,263607
2004-05-18,29704
2014-05-06,263607
2014-06-15,146743
2021-11-12,5191
2020-05-01,146743
2001-08-14,6006
2011-06-07,381019
2021-12-08,33749
2013,8547
1993,790723
2016-09-30,187715
2021-11-12,33749
2016-07-29,28258
2020-09-14,27858
2014-07-08,7303760
2017-08-11,520735
2020-10-16,51917
2020-09-11,343598
2018-03-31,105557
2018-04-27,4282
2015-12-10,43545
2020-07-17,3073077
2019-09-20,2798
2019-10-18,29123
2012-07-24,3073077
2018-02-16,14178
2009-09-16,552524
2018-02-09,21514
2008-08-20,363097
2005-04-11,28636
1991,1032627
2016-03-04,32073
2019-12-05,14210
2013-01-08,120624
1990,1032627
2020-01-24,3073077
2021-10-11,5191
2005-01-26,132908
1976,324004
2017-05-10,125973
2009-05-26,7212
2022-08-05,15332
1983-01-01,790723
2005-01-26,132908
2020-09-24,4279
2017-03-31,154446
2022-09-06,33132
1972-12-10,324004
2021-10-11,5800
2007-01-01,3514
2022-04-01,107590
2014-12-05,7035
2021-11-26,381019
2012-03-13,19920
2022-02-11,381019
1984-06-01,790723
2022-07-11,146743
2020-05-01,146743
2010-05-10,107590
2005,230571
2017-05-01,46343
2011-09-13,88532
2017-11-24,381019
2022-07-01,255761
2016-05-24,1090309
2021-01-08,1090309
2011-01-01,1090309
2017-04-28,1090309
2022-05-05,1090309
2016-05-24,1090309
2013-03-07,325884
2003-01-01,740626
2016-05-24,1090309
2011-01-01,1090309
2016-05-24,1090309
2016-05-24,1090309
2021-02-12,325884
2016-05-24,1090309
2022-05-05,1090309
2020-03-11,889372
2016-05-24,1090309
2013-01-01,1090309
2016-05-24,1090309
2021-04-23,325884
2016-06-01,325884
2011-01-01,1090309
2013-01-01,1090309
2022-05-05,1090309
2011-01-01,1090309
2011-03-08,61694
2022-05-05,1090309
2017-04-28,1090309
2022-05-05,1090309
2011-03-08,61694
2015-07-31,1090309
2013-01-01,1090309
2016-09-22,17217
2017-04-28,1090309
2014-05-24,1090309
2011-03-08,61694
2011-01-01,1090309
2017-04-28,1090309
2016-06-01,325884
2016-06-01,325884
2014-05-24,1090309
2014-05-24,1090309
2017-04-28,1090309
2017-04-28,1090309
2017-04-28,1090309
2017-04-28,1090309
2013-01-01,1090309
2013-01-01,1090309
2017-03-10,48717
2014-12-22,94272
2021-02-26,245742
2019-02-14,1090309
2019-12-12,325884
2017-02-01,325884
2012-12-24,16568
2019-04-19,325884
2021-02-12,325884
2019-11-15,889372
2015-07-31,1090309
2020-04-17,325884
2016-06-16,325884
2003-01-01,740626
2016-09-22,17217
2009-05-26,467468
2021-02-12,1052355
2018-02-02,1090309
2019-02-15,325884
2016-05-24,1090309
2012-11-07,69020
2018-06-08,325884
2006-09-05,467468
2019-02-15,325884
2013-01-01,1090309
2011-01-01,1090309
2019-02-15,325884
